03:40:06.068 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Provide invalid Auth Token header value & verify the response (GET Request)
03:40:07.108 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - io.restassured.internal.RestAssuredResponseImpl@6778aea6
03:40:07.125 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Host informationhttps://www.almosafer.com/api/
03:40:07.125 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Provide invalid endpoint & verify the response (GET Request)
03:40:08.010 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - io.restassured.internal.RestAssuredResponseImpl@27df0f3d
03:40:08.057 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Host informationhttps://www.almosafer.com/api/
03:40:08.058 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Provide invalid PlaceID as Query Param & verify the response (GET Request)
03:40:08.860 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - io.restassured.internal.RestAssuredResponseImpl@750ff7d3
03:40:08.907 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Host informationhttps://www.almosafer.com/api/
03:40:08.907 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Provide invalid PlaceID as Query Param & verify the response (GET Request)
03:40:09.891 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - io.restassured.internal.RestAssuredResponseImpl@59ed3e6c
03:40:09.918 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Host informationhttps://www.almosafer.com/api/
03:40:09.920 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Don't provide Auth Token header & verify the response (GET Request)
03:40:10.610 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - io.restassured.internal.RestAssuredResponseImpl@e9ef5b6
03:40:10.636 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Host informationhttps://www.almosafer.com/api/
03:40:10.637 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Provide invalid PlaceID as Query Param & verify the response (GET Request)
03:40:11.311 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - io.restassured.internal.RestAssuredResponseImpl@5fa23c
03:40:11.348 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Host informationhttps://www.almosafer.com/api/
03:40:11.348 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - Search Hotel Happy Flow & verify the response (GET Request)
03:40:13.665 [main] INFO  hotels_API_Tests.SearchHotels_GET_API_Test - io.restassured.internal.RestAssuredResponseImpl@c3edf4c
